Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A09005_001,SE_A09005_002,SE_A09005_009,SE_A09005_010,SE_A09005_003,SE_A09005_004,SE_A09005_005,SE_A09005_006,SE_A09005_007,SE_A09005_008
"53053073118","Census Tract 731.18, Pierce County, Washington","wa","140","00",,,,"53","053",,,"073118",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 731.18",,,,2348,2005,1757,248,36,39,0,0,35,233
"53053073119","Census Tract 731.19, Pierce County, Washington","wa","140","00",,,,"53","053",,,"073119",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 731.19",,,,1322,1158,1038,120,0,0,0,0,10,154
"53053073120","Census Tract 731.20, Pierce County, Washington","wa","140","00",,,,"53","053",,,"073120",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 731.20",,,,2484,2176,2037,139,38,0,0,8,39,223
"53053073121","Census Tract 731.21, Pierce County, Washington","wa","140","00",,,,"53","053",,,"073121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 731.21",,,,2485,1984,1743,241,98,0,0,11,42,350
"53053073122","Census Tract 731.22, Pierce County, Washington","wa","140","00",,,,"53","053",,,"073122",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 731.22",,,,2557,2141,2011,130,84,0,0,6,25,301
"53053073123","Census Tract 731.23, Pierce County, Washington","wa","140","00",,,,"53","053",,,"073123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 731.23",,,,3043,2518,2416,102,41,0,25,0,34,425
"53053073124","Census Tract 731.24, Pierce County, Washington","wa","140","00",,,,"53","053",,,"073124",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 731.24",,,,2442,2233,2106,127,12,0,0,6,9,182
"53053073126","Census Tract 731.26, Pierce County, Washington","wa","140","00",,,,"53","053",,,"073126",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 731.26",,,,2044,1769,1519,250,152,0,21,0,4,98
"53053073127","Census Tract 731.27, Pierce County, Washington","wa","140","00",,,,"53","053",,,"073127",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 731.27",,,,1500,1190,802,388,84,18,0,0,0,208
"53053073128","Census Tract 731.28, Pierce County, Washington","wa","140","00",,,,"53","053",,,"073128",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 731.28",,,,3320,3029,2536,493,10,0,0,46,15,220
"53053073129","Census Tract 731.29, Pierce County, Washington","wa","140","00",,,,"53","053",,,"073129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 731.29",,,,2799,2469,2110,359,26,0,0,13,0,291
"53053073130","Census Tract 731.30, Pierce County, Washington","wa","140","00",,,,"53","053",,,"073130",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 731.30",,,,1571,1276,1251,25,29,0,0,9,16,241
"53053073131","Census Tract 731.31, Pierce County, Washington","wa","140","00",,,,"53","053",,,"073131",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 731.31",,,,1533,1352,1097,255,90,0,0,0,0,91
"53053073132","Census Tract 731.32, Pierce County, Washington","wa","140","00",,,,"53","053",,,"073132",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 731.32",,,,2336,2063,1867,196,12,0,0,0,0,261
"53053073133","Census Tract 731.33, Pierce County, Washington","wa","140","00",,,,"53","053",,,"073133",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 731.33",,,,2231,2036,1699,337,61,0,14,0,21,99
"53053073200","Census Tract 732, Pierce County, Washington","wa","140","00",,,,"53","053",,,"073200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 732",,,,3189,2700,2225,475,11,0,0,96,0,382
"53053073301","Census Tract 733.01, Pierce County, Washington","wa","140","00",,,,"53","053",,,"073301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 733.01",,,,2477,2075,1946,129,34,0,0,163,15,190
"53053073302","Census Tract 733.02, Pierce County, Washington","wa","140","00",,,,"53","053",,,"073302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 733.02",,,,2432,1992,1771,221,106,0,0,51,8,275
"53053073404","Census Tract 734.04, Pierce County, Washington","wa","140","00",,,,"53","053",,,"073404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 734.04",,,,2823,2378,1995,383,126,0,0,55,0,264
"53053073405","Census Tract 734.05, Pierce County, Washington","wa","140","00",,,,"53","053",,,"073405",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 734.05",,,,1707,1521,1370,151,46,15,0,28,17,80
"53053073406","Census Tract 734.06, Pierce County, Washington","wa","140","00",,,,"53","053",,,"073406",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 734.06",,,,3065,2740,2618,122,46,0,11,0,30,238
