Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A00002_001,SE_A00002_002,SE_A00002_003
"42","Pennsylvania","pa","040","00",,,,"42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pennsylvania",,,,12989208,290.3113,44742.3398347792
"44","Rhode Island","ri","040","00",,,,"44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rhode Island",,,,1094250,1058.381,1033.89024505133
"45","South Carolina","sc","040","00",,,,"45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"South Carolina",,,,5142750,171.0586,30064.2542467378
"46","South Dakota","sd","040","00",,,,"46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"South Dakota",,,,890342,11.74471,75807.8983408417
"47","Tennessee","tn","040","00",,,,"47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tennessee",,,,6923772,167.9192,41232.7663973733
"48","Texas","tx","040","00",,,,"48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Texas",,,,29243342,111.9278,261269.760891556
"49","Utah","ut","040","00",,,,"49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Utah",,,,3283809,39.75774,82595.4730662845
"50","Vermont","vt","040","00",,,,"50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Vermont",,,,643816,69.84903,9217.25094633643
"51","Virginia","va","040","00",,,,"51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Virginia",,,,8624511,218.441,39482.1057456637
"53","Washington","wa","040","00",,,,"53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Washington",,,,7688549,115.6947,66455.4692793943
"54","West Virginia","wv","040","00",,,,"54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"West Virginia",,,,1792967,74.57889,24041.214906015
"55","Wisconsin","wi","040","00",,,,"55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wisconsin",,,,5882128,108.592,54167.2478729631
"56","Wyoming","wy","040","00",,,,"56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wyoming",,,,577929,5.952584,97088.7570320789
"72","Puerto Rico","pr","040","00",,,,"72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Puerto Rico",,,,3272382,955.6208,3424.35172981496
